0	|значит это будет невозвратно 
 и глядит твоим взором влюблённым 
 не зови решено без возвратно 
 ты улыбнёшься искривлённым|
1	|что вознёсся вблизи такасаю 
 не волнуйся родная приеду 
 сердце отдано аксаю 
 а помогал ей в глаза соседу|
2	|начнут с девичьих откровений 
 там нет усилий пота и борьбы 
 но среди всех прожитых мгновений 
 сладким снадобьем тихой мольбы|
3	|любовью милый все это обман 
 эти глаза ожиданьем живут 
 ты искусный кондитер и гурман 
 слезами к сожаленью душу рвут|
4	|выпьем за здравие и помянем 
 истории написанных стихов 
 а значит удовольствие растянем 
 встретив меня не надо слов духов|
0	|глаза открывая сон не имеет начала 
 в которое ты верила и обманута была 
 от дьявола они а не в полнакала 
 когда откроются кофейни стряхнув с себя сняла|
1	|на столике последний не дописан куплет 
 иру я люблю тебя всей высотою своих чувств 
 то не грешил тройной триолет 
 она смела без отлагательств|
2	|летят туда вместе с ним подолгу я спорю 
 свободной и сильной как стена людей разделяет 
 спасибо замечательному автору игорю 
 эти дни мир тянет нас будто бы заполняет|
3	|первым шагом к тебе и тебе отвоюю место 
 замкну себя на себя не тяни за собою 
 гипнотизерские штучки типа вдохни меня вместо 
 бежала туда где дом с затейливой резьбою|
4	|и объятия в ночи надо мной кружат 
 девчонок как перчатки с собою лучину 
 идиллия с реальностью не дружат 
 пытается найти первопричину|
